customer_id_legacy,transaction_id,purchase_amount,purchase_date,customer_rating,customer_id_new,social_media_platform,engagement_score,purchase_interest_score,review_sentiment,customer_engagement_score,moving_avg_purchase,purchase_month,monthly_total_spend,monthly_avg_spend,product_category_Books,product_category_Clothing,product_category_Electronics,product_category_Groceries,product_category_Sports,avg_spent_last_3
151,1001,408.0,2024-01-01,2.3,A176,Facebook,70.0,3.3,Negative,43.32,408.0,2024-01,408.0,408.0,False,False,False,False,True,408.0
192,1002,332.0,2024-01-02,4.2,A156,Instagram,52.0,4.9,Positive,33.16,332.0,2024-01,332.0,332.0,False,False,True,False,False,332.0
114,1003,442.0,2024-01-03,2.1,A171,Unknown,78.0,3.6,Neutral,48.239999999999995,442.0,2024-01,442.0,442.0,False,False,True,False,False,442.0
171,1004,256.0,2024-01-04,2.8,,Unknown,78.0,3.6,Neutral,48.239999999999995,256.0,2024-01,256.0,256.0,False,True,False,False,False,256.0
160,1005,64.0,2024-01-05,1.3,,Unknown,78.0,3.6,Neutral,48.239999999999995,64.0,2024-01,64.0,64.0,False,True,False,False,False,64.0
120,1006,395.0,2024-01-06,1.1,A159,Unknown,78.0,3.6,Neutral,48.239999999999995,395.0,2024-01,480.0,240.0,False,False,False,True,False,395.0
182,1007,91.0,2024-01-07,4.9,A193,TikTok,69.0,2.6,Negative,42.44,91.0,2024-01,91.0,91.0,False,False,False,False,True,91.0
186,1008,429.0,2024-01-08,4.3,A160,TikTok,56.0,2.6,Positive,34.64,429.0,2024-01,1287.0,429.0,False,True,False,False,False,429.0
186,1008,429.0,2024-01-08,4.3,A160,LinkedIn,73.0,2.0,Neutral,44.599999999999994,429.0,2024-01,1287.0,429.0,False,True,False,False,False,429.0
186,1008,429.0,2024-01-08,4.3,A160,Instagram,89.0,2.9,Neutral,54.559999999999995,429.0,2024-01,1287.0,429.0,False,True,False,False,False,429.0
174,1009,228.0,2024-01-09,3.8,A148,Facebook,75.0,1.7,Neutral,45.68,228.0,2024-01,340.0,170.0,False,False,True,False,False,228.0
174,1010,112.0,2024-01-10,2.6,A148,Facebook,75.0,1.7,Neutral,45.68,170.0,2024-01,340.0,170.0,False,False,False,False,True,170.0
187,1011,401.0,2024-01-11,1.7,A124,TikTok,75.0,4.6,Neutral,46.84,401.0,2024-01,2571.0,428.5,False,False,False,False,True,401.0
187,1011,401.0,2024-01-11,1.7,A124,Facebook,95.0,3.7,Positive,58.48,401.0,2024-01,2571.0,428.5,False,False,False,False,True,401.0
187,1011,401.0,2024-01-11,1.7,A124,LinkedIn,77.0,3.2,Positive,47.48,401.0,2024-01,2571.0,428.5,False,False,False,False,True,401.0
199,1012,280.0,2024-01-12,1.6,A178,LinkedIn,74.0,4.9,Positive,46.36,280.0,2024-01,840.0,280.0,False,False,True,False,False,280.0
199,1012,280.0,2024-01-12,1.6,A178,LinkedIn,53.0,1.5,Neutral,32.4,280.0,2024-01,840.0,280.0,False,False,True,False,False,280.0
199,1012,280.0,2024-01-12,1.6,A178,TikTok,68.0,3.5,Negative,42.199999999999996,280.0,2024-01,840.0,280.0,False,False,True,False,False,280.0
123,1013,290.0,2024-01-13,2.0,,Unknown,78.0,3.6,Neutral,48.239999999999995,290.0,2024-01,290.0,290.0,False,True,False,False,False,290.0
102,1014,101.0,2024-01-14,3.2,,Unknown,78.0,3.6,Neutral,48.239999999999995,101.0,2024-01,101.0,101.0,False,False,True,False,False,101.0
121,1015,145.0,2024-01-15,3.9,A185,TikTok,90.0,3.4,Neutral,55.36,145.0,2024-01,1524.0,190.5,False,False,False,False,True,145.0
121,1015,145.0,2024-01-15,3.9,A185,Facebook,78.0,2.4,Positive,47.76,145.0,2024-01,1524.0,190.5,False,False,False,False,True,145.0
121,1015,145.0,2024-01-15,3.9,A185,TikTok,59.0,3.6,Positive,36.839999999999996,145.0,2024-01,1524.0,190.5,False,False,False,False,True,145.0
121,1015,145.0,2024-01-15,3.9,A185,TikTok,50.0,1.5,Negative,30.6,145.0,2024-01,1524.0,190.5,False,False,False,False,True,145.0
